,iata_code,latitude,longitude
0,AAA,-17.355,-145.508333
1,AAB,-26.690556,141.0475
2,AAC,31.073333,33.835833
3,AAD,17.592777777778,33.959166666667
4,AAE,36.822222,7.809444
5,AAF,29.727607,-85.027442
6,AAG,-24.103875,-49.789078
7,AAH,50.823056,6.186111
8,AAI,-13.025,-46.884
9,AAJ,3.898611,-55.577778
10,AAK,0.185278,173.636667
11,AAL,57.092789,9.849164
12,AAM,-24.818111,31.544584
13,AAN,24.261667,55.609167
14,AAO,9.430225,-64.470725
15,AAP,72.886944,-55.596111
16,AAQ,45.002097,37.347272
17,AAR,56.300017,10.619008
18,AAS,-3.883,139.283
19,AAT,47.749,88.089
20,AAU,-13.505778,-172.627972
21,AAV,6.366817,124.751294
22,AAW,34.15,73.217
23,AAX,-19.563247,-46.960358
24,AAY,16.191666,52.175
25,AAZ,14.86555,-91.501981
26,ABA,53.74,91.385
27,ABB,51.690556,-1.316667
28,ABC,38.948528,-1.863517
29,ABD,30.371111,48.228333
30,ABF,1.798611,173.040556
31,ABG,-17.617,143.167
32,ABH,-23.646111,146.583611
33,ABI,32.411306,-99.681889
34,ABJ,5.261386,-3.926294
35,ABK,6.734,44.253
36,ABL,67.106314,-157.857472
37,ABM,-10.950833,142.459444
38,ABN,5.513,-54.05
39,ABO,5.433,-3.267
40,ABP,-6.05,141.083
41,ABQ,35.040194,-106.609194
42,ABR,45.449056,-98.421833
43,ABS,22.375953,31.611722
44,ABT,20.296139,41.634277
45,ABU,-9.074444,124.904444
46,ABV,9.006792,7.263172
47,ABW,-10.2,148.733
48,ABX,-36.067778,146.958056
49,ABY,31.535515,-84.194473
50,ABZ,57.201944,-2.197778
51,ACB,44.988576,-85.198355
52,ACC,5.605186,-0.166786
53,ACD,8.5,-73.633
54,ACE,28.945464,-13.605225
55,ACH,47.485033,9.560775
56,ACI,49.706111,-2.214722
57,ACJ,32.110799,-84.188848
58,ACK,41.253111,-70.060306
59,ACL,4.749,-72.994
60,ACM,-2.133,-71.783
61,ACN,29.333917,-101.100892
62,ACO,46.157778,8.781944
63,ACP,37.348017,46.127903
64,ACR,-0.601111,-72.397778
65,ACS,56.268333,90.570833
66,ACT,31.6117,-97.230284
67,ACU,9.183,-78.017
68,ACV,40.978111,-124.108611
69,ACX,25.155,104.971
70,ACY,39.457583,-74.577167
71,ACZ,31.098333,61.543889
72,ADA,36.982166,35.280388
73,ADB,38.292392,27.156953
74,ADC,46.45027,-95.210955
75,ADD,8.977889,38.799319
76,ADE,12.829542,45.028792
77,ADF,37.731369,38.468936
78,ADG,41.867674,-84.077306
79,ADH,58.602778,125.408889
80,ADI,-22.462223,14.98
81,ADJ,31.972703,35.991569
82,ADK,51.877964,-176.646031
83,ADL,-34.945,138.530556
84,ADM,34.30425,-97.020583
85,ADN,5.656,-75.879
86,ADO,-30.437778,137.137222
87,ADP,8.301486,80.4279
88,ADQ,57.749968,-152.493855
89,ADR,33.4517,-79.526177
90,ADS,32.968559,-96.836448
91,ADT,34.804262,-96.6712
92,ADU,38.325678,48.424356
93,ADV,51.207,-1.528
94,ADW,38.810833,-76.867
95,ADX,56.372889,-2.868444
96,ADY,-22.679017,29.055517
97,ADZ,12.583683,-81.710919
98,AEA,0.490833,173.828611
99,AED,58.03333333,-152.9
100,AEG,1.400103,99.430453
101,AEH,13.847,20.844333
102,AEI,0.0,0.0
103,AEK,-7.35,146.183
104,AEL,43.681528,-93.36725
105,AEO,16.711293,-9.637883
106,AEP,-34.559175,-58.415606
107,AER,43.449928,39.956589
108,AES,62.560372,6.110164
109,AET,66.551833,-152.622167
110,AEU,25.875742,55.032994
111,AEX,31.327372,-92.548556
112,AEY,65.65861,-18.072222
113,AFA,-34.588314,-68.403854
114,AFD,-33.554167,26.879722
115,AFF,38.969715,-104.812831
116,AFI,6.916667,-75.066667
117,AFK,40.605444,-95.86775
118,AFL,-9.866092,-56.106206
119,AFN,42.805134,-72.003022
120,AFO,42.708778,-110.942167
121,AFR,-9.133,148.383
122,AFS,41.613611,64.232777
123,AFT,-9.191111,160.949167
124,AFW,32.987639,-97.318806
125,AFY,38.726425,30.601114
126,AFZ,36.168083,57.595183
127,AGA,30.324997,-9.413067
128,AGB,48.425158,10.931764
129,AGC,40.354401,-79.930169
130,AGD,-1.383,133.867
131,AGE,53.788333,7.920556
132,AGF,44.174714,0.590619
133,AGG,-4.05,144.067
134,AGH,56.296072,12.847139
135,AGI,5.833,-56.65
136,AGJ,26.592499,127.240833
137,AGK,-6.383,143.85
138,AGL,-9.333,149.15
139,AGM,65.612222,-37.618333
140,AGN,57.503555,-134.585094
141,AGO,33.227468,-93.216992
142,AGP,36.6749,-4.499106
143,AGQ,38.602022,21.351208
144,AGR,27.155831,77.960892
145,AGS,33.369943,-81.9645
146,AGT,-25.4555,-54.843592
147,AGU,21.705558,-102.317858
148,AGV,9.553422,-69.237536
149,AGW,-12.145556,142.149167
150,AGX,10.823656,72.176042
151,AGY,-16.333,128.767
152,AGZ,-29.281767,18.813869
153,AHA,26.2,127.65
154,AHB,18.240367,42.656625
155,AHC,40.265918,-120.150613
156,AHD,34.146989,-97.122652
157,AHE,-14.427778,-146.255
158,AHF,40.339451,-99.906513
159,AHH,45.281148,-92.375392
160,AHI,-3.348,128.926
161,AHL,2.473604,-59.32111
162,AHN,33.948595,-83.326347
163,AHO,40.632133,8.290772
164,AHS,15.472222,-84.352222
165,AHT,51.5,179.0
166,AHU,35.177103,-3.839525
167,AHY,-20.0,45.533
168,AHZ,45.088333,6.084722
169,AIA,42.053222,-102.803778
170,AIB,56.233333333333,-132.38333333333
171,AIC,7.1,171.233
172,AID,40.108611,-85.613
173,AIE,-5.133,144.717
174,AIF,-22.638564,-50.455914
175,AIG,6.52,23.26
176,AIH,-7.35,141.26666666667
177,AII,11.133,42.717
178,AIK,33.649376,-81.685036
179,AIL,9.217,-78.017
180,AIM,10.2,169.983
181,AIN,70.638,-159.99475
182,AIO,41.403833,-95.04875
183,AIP,7.267,168.817
184,AIR,-10.186389,-59.4575
185,AIS,-2.616111,176.8025
186,AIT,-18.830922,-159.764233
187,AIU,-19.967778,-158.119167
188,AIV,33.106465,-88.197792
189,AIW,-27.983333333333,17.583055555556
190,AIY,39.366666666667,-74.45
191,AIZ,38.096035,-92.549488
192,AJA,41.923889,8.8025
193,AJF,29.785133,40.100006
194,AJI,39.654569,43.02715
195,AJJ,19.731667,-14.379444
196,AJK,34.138147,49.847292
197,AJL,23.746603,92.802767
198,AJN,-12.131667,44.430279
199,AJO,15.717,44.25
200,AJR,65.590278,19.281944
201,AJS,26.727222,-113.559444
202,AJU,-10.984,-37.070333
203,AJY,16.965997,8.000114
204,AKA,32.708056,108.931389
205,AKB,52.220586,-174.206183
206,AKC,41.0375,-81.466917
207,AKD,20.699006,77.058628
208,AKE,-1.129436,13.920506
209,AKF,24.178728,23.313958
210,AKG,-3.55,142.217
