TravelerID;BookingNumber;DepartureAirportCode;ArrivalAirportCode;DepartureFlightTime;ReturnFlightTime;AirlineID;BookingTime
27197;D988137F;TSE;ALA;2019-12-30 23:35:00.000;NULL;1;2019-12-30 18:00:32.233
28777;566A2829;TSE;ALA;2019-12-30 23:35:00.000;NULL;1;2019-12-30 14:05:03.377
27157;849333C4;ALA;TSE;2019-12-30 16:00:00.000;2020-01-03 07:00:00.000;1;2019-12-30 11:58:21.113
27158;B0331A4B;ALA;TSE;2019-12-30 16:00:00.000;2020-01-03 07:00:00.000;1;2019-12-30 11:58:21.113
26928;7158F90A;GUW;ALA;2019-12-29 22:00:00.000;NULL;1;2019-12-29 19:34:57.997
26868;DC8D44E5;GUW;ALA;2019-12-29 22:00:00.000;NULL;1;2019-12-29 19:34:57.997
26928;DCA52A09;GUW;ALA;2019-12-30 22:00:00.000;NULL;1;2019-12-29 19:22:24.817
26868;6942EBBB;GUW;ALA;2019-12-30 22:00:00.000;NULL;1;2019-12-29 19:22:24.817
29392;ACF27C2F;TSE;ALA;2019-12-29 22:35:00.000;NULL;1;2019-12-29 18:50:47.397
27458;65C21848;DME;TSE;2019-12-30 10:20:00.000;2020-01-06 08:35:00.000;1;2019-12-29 16:56:38.657
26948;5DFF9B45;ALA;TSE;2019-12-29 19:50:00.000;NULL;1;2019-12-29 15:43:50.730
30009;B86CFED8;TSE;PLX;2019-12-30 19:50:00.000;2020-01-04 21:35:00.000;2;2019-12-29 07:04:52.163
30010;C25B6734;TSE;PLX;2019-12-30 19:50:00.000;2020-01-04 21:35:00.000;2;2019-12-29 07:04:52.163
30011;614CF40D;TSE;PLX;2019-12-30 19:50:00.000;2020-01-04 21:35:00.000;2;2019-12-29 07:04:52.163
30009;060AFDB1;TSE;PLX;2019-12-30 19:50:00.000;2020-01-04 21:35:00.000;2;2019-12-29 07:02:28.303
30010;D512A081;TSE;PLX;2019-12-30 19:50:00.000;2020-01-04 21:35:00.000;2;2019-12-29 07:02:28.303
30011;C438BE36;TSE;PLX;2019-12-30 19:50:00.000;2020-01-04 21:35:00.000;2;2019-12-29 07:02:28.303
29489;BB0D432A;CIT;ALA;2019-12-29 10:00:00.000;NULL;1;2019-12-28 23:34:34.957
29487;7D880E1D;CIT;ALA;2019-12-29 10:00:00.000;NULL;1;2019-12-28 23:34:34.957
27461;709B888B;ALA;AKX;2019-12-29 17:50:00.000;NULL;1;2019-12-28 23:21:40.680
27271;15FC98DC;ALA;CIT;2019-12-29 07:35:00.000;NULL;1;2019-12-28 22:13:57.837
29621;AA1FE6B8;TSE;IST;2019-12-30 19:05:00.000;2020-01-11 22:25:00.000;1;2019-12-28 21:36:56.607
27026;FAD74AB3;TSE;ALA;2019-12-30 18:50:00.000;NULL;1;2019-12-28 20:36:26.023
27028;F2387475;TSE;ALA;2019-12-30 18:50:00.000;NULL;1;2019-12-28 20:36:26.023
27394;CCEFCCB8;TSE;ALA;2019-12-28 17:05:00.000;NULL;2;2019-12-28 14:27:09.703
28707;6542F681;ALA;CIT;2019-12-29 12:40:00.000;NULL;2;2019-12-28 12:48:11.030
28707;8E6028B8;IST;ALA;2019-12-28 22:05:00.000;NULL;1;2019-12-28 12:42:05.033
27086;ED813CDB;ALA;DXB;2019-12-30 07:40:00.000;2020-01-04 14:10:00.000;1;2019-12-28 12:19:44.827
27088;CF858CEF;ALA;DXB;2019-12-30 07:40:00.000;2020-01-04 14:10:00.000;1;2019-12-28 12:15:14.010
29331;AFC1499A;TSE;KZO;2019-12-28 13:50:00.000;NULL;1;2019-12-27 22:09:51.130
27088;6A34628F;IST;ALA;2019-12-28 22:05:00.000;2020-01-05 17:55:00.000;1;2019-12-27 20:56:39.147
28114;D15BE627;ALA;TSE;2019-12-27 22:35:00.000;NULL;1;2019-12-27 19:08:55.607
27394;F1193584;TSE;ALA;2019-12-28 15:30:00.000;NULL;1;2019-12-27 18:57:10.880
27394;877B7759;KSN;TSE;2019-12-28 12:50:00.000;NULL;2;2019-12-27 18:39:26.070
25929;D4D82B7A;TSE;CIT;2019-12-28 08:50:00.000;NULL;1;2019-12-27 10:20:18.850
29519;F32F1DA1;UKK;TSE;2019-12-30 17:15:00.000;NULL;1;2019-12-27 10:06:18.277
28204;35CA4B59;TSE;CIT;2019-12-27 15:00:00.000;NULL;2;2019-12-27 09:57:38.097
29662;B867CA88;CIT;ALA;2019-12-27 10:00:00.000;NULL;1;2019-12-27 07:02:37.570
26957;535167E1;ALA;KZO;2019-12-27 17:10:00.000;NULL;1;2019-12-27 02:05:34.583
26957;3A063944;ALA;KZO;2019-12-28 12:50:00.000;NULL;1;2019-12-27 01:12:12.587
27908;A0907068;ALA;SCO;2019-12-27 05:30:00.000;NULL;1;2019-12-27 00:46:30.470
27572;6694062D;TSE;IST;2019-12-28 19:05:00.000;2020-01-01 22:25:00.000;1;2019-12-27 00:24:18.160
29391;ADAC44C1;TSE;ALA;2019-12-27 15:30:00.000;NULL;1;2019-12-27 00:08:40.210
29758;2E36B427;ALA;TSE;2019-12-29 08:45:00.000;NULL;1;2019-12-26 22:39:41.900
29758;681E315F;TSE;ALA;2019-12-28 01:20:00.000;NULL;1;2019-12-26 22:36:07.603
28379;B6DB90FB;TSE;UKK;2019-12-27 09:25:00.000;NULL;1;2019-12-26 19:25:44.817
25929;FC0F778D;TSE;CIT;2019-12-27 08:10:00.000;NULL;1;2019-12-26 16:52:35.557
28204;4227A9A6;TSE;CIT;2019-12-26 20:15:00.000;NULL;1;2019-12-26 16:19:21.447
28115;6CC395BF;TSE;IST;2019-12-26 19:05:00.000;2019-12-28 22:25:00.000;1;2019-12-26 13:25:57.850
28305;63885654;ALA;TSE;2019-12-29 06:10:00.000;2020-01-03 07:00:00.000;1;2019-12-26 11:04:38.527
27350;3F3947F0;UKK;ALA;2019-12-26 15:25:00.000;NULL;1;2019-12-26 01:29:33.673
28114;013BA44C;TSE;ALA;2019-12-26 07:00:00.000;NULL;1;2019-12-26 00:04:50.790
29825;6EB26DC6;UKK;ALA;2019-12-26 15:25:00.000;NULL;1;2019-12-25 17:58:04.247
29425;C6D40B81;TSE;PLX;2019-12-25 19:50:00.000;2019-12-26 21:35:00.000;2;2019-12-25 17:42:32.720
27722;3759602A;TSE;GUW;2019-12-26 08:00:00.000;NULL;1;2019-12-25 17:03:39.297
28310;40A18DE9;TSE;CIT;2019-12-26 20:15:00.000;2019-12-29 23:10:00.000;1;2019-12-25 16:12:40.917
29662;7F95727F;ALA;CIT;2019-12-26 07:35:00.000;NULL;1;2019-12-25 14:21:52.220
29487;E3D38DDA;ALA;CIT;2019-12-25 19:35:00.000;NULL;1;2019-12-25 11:29:41.557
28076;92B1CDAE;CIT;ALA;2019-12-26 22:05:00.000;NULL;1;2019-12-25 11:13:58.263
29705;918FCA3A;ALA;GUW;2019-12-26 18:40:00.000;2020-01-06 11:15:00.000;1;2019-12-24 20:52:54.380
29825;13C86DF8;ALA;PLX;2019-12-25 08:30:00.000;NULL;2;2019-12-24 17:07:34.220
27564;2EE8EE44;ALA;GUW;2019-12-24 18:40:00.000;NULL;1;2019-12-24 16:13:57.680
30031;0B5D06F2;CIT;ALA;2019-12-25 22:05:00.000;NULL;1;2019-12-24 15:36:02.913
29626;2E47B20A;CIT;TSE;2019-12-25 15:25:00.000;NULL;1;2019-12-24 11:01:22.650
27225;80B0A062;AKX;TSE;2019-12-24 16:30:00.000;NULL;1;2019-12-24 08:56:36.743
29850;011EF80D;ALA;KBP;2019-12-27 07:10:00.000;NULL;1;2019-12-23 22:20:48.790
28810;45286F5C;ALA;TSE;2019-12-24 17:45:00.000;2019-12-29 11:30:00.000;1;2019-12-23 21:48:37.640
29731;C90C593E;GUW;ALA;2019-12-25 21:35:00.000;NULL;1;2019-12-23 20:35:47.687
28098;43EFC66D;AKX;TSE;2019-12-25 10:20:00.000;2019-12-26 14:40:00.000;1;2019-12-23 19:13:00.093
29626;789176D3;CIT;TSE;2019-12-26 17:20:00.000;NULL;2;2019-12-23 18:02:01.617
29040;3E778C7D;TSE;CIT;2019-12-24 15:00:00.000;NULL;2;2019-12-23 14:54:23.633
29039;F344D6A2;TSE;CIT;2019-12-24 15:00:00.000;NULL;2;2019-12-23 14:54:23.633
28027;F895AB71;ALA;TSE;2019-12-28 07:00:00.000;2020-01-03 15:30:00.000;1;2019-12-23 11:46:09.600
28028;92790C44;ALA;TSE;2019-12-28 07:00:00.000;2020-01-03 15:30:00.000;1;2019-12-23 11:46:09.600
28029;55D8785A;ALA;TSE;2019-12-28 07:00:00.000;2020-01-03 15:30:00.000;1;2019-12-23 11:46:09.600
28030;5AAD57A4;ALA;TSE;2019-12-28 07:00:00.000;2020-01-03 15:30:00.000;1;2019-12-23 11:46:09.600
28027;735EDDA8;TSE;KSN;2019-12-28 11:00:00.000;2020-01-03 12:50:00.000;2;2019-12-23 11:03:04.790
28028;58C519C8;TSE;KSN;2019-12-28 11:00:00.000;2020-01-03 12:50:00.000;2;2019-12-23 11:03:04.790
28029;072400F8;TSE;KSN;2019-12-28 11:00:00.000;2020-01-03 12:50:00.000;2;2019-12-23 11:03:04.790
28030;4B495E3D;TSE;KSN;2019-12-28 11:00:00.000;2020-01-03 12:50:00.000;2;2019-12-23 11:03:04.790
27801;6B4A6BAA;CIT;ALA;2019-12-23 14:35:00.000;NULL;2;2019-12-23 09:50:08.030
27497;6DBE87DD;CIT;ALA;2019-12-23 14:35:00.000;NULL;2;2019-12-23 09:50:08.030
28750;A250E1A2;TSE;DMB;2019-12-23 17:15:00.000;2019-12-25 19:30:00.000;2;2019-12-23 01:47:15.577
28204;D6A9C261;CIT;TSE;2019-12-23 11:40:00.000;NULL;1;2019-12-22 23:24:55.030
29617;D5844547;ALA;IST;2019-12-22 17:55:00.000;2019-12-23 09:40:00.000;1;2019-12-22 15:12:48.307
29775;FA826BBF;ALA;CIT;2019-12-22 19:35:00.000;NULL;1;2019-12-22 12:20:47.233
27452;4F26F204;DMB;ALA;2019-12-22 21:00:00.000;NULL;2;2019-12-22 11:36:18.197
27350;CF74FD85;ALA;UKK;2019-12-22 12:25:00.000;NULL;1;2019-12-22 11:10:58.837
27225;E3BD1C6D;TSE;AKX;2019-12-22 20:20:00.000;NULL;1;2019-12-22 10:27:29.250
28750;CC9DA73F;TSE;DMB;2019-12-23 17:15:00.000;2019-12-25 19:30:00.000;2;2019-12-22 01:28:28.877
27896;76CB4CF6;TSE;ALA;2019-12-22 07:00:00.000;2019-12-23 12:55:00.000;1;2019-12-21 21:38:32.583
26868;5116A9BF;ALA;GUW;2019-12-24 18:40:00.000;NULL;1;2019-12-21 20:35:47.203
28379;D0863DA9;ALA;UKK;2019-12-22 12:25:00.000;NULL;1;2019-12-21 20:31:53.917
26928;9D8BD87D;ALA;GUW;2019-12-23 08:05:00.000;NULL;1;2019-12-21 20:31:50.543
29759;8E21788B;UKK;TSE;2019-12-23 17:15:00.000;NULL;1;2019-12-21 20:01:06.120
27801;351644D7;ALA;CIT;2019-12-22 07:35:00.000;NULL;1;2019-12-21 16:46:00.807
27497;603136AA;ALA;CIT;2019-12-22 07:35:00.000;NULL;1;2019-12-21 16:46:00.807
28953;E3924EF1;TSE;KZO;2019-12-23 08:45:00.000;NULL;1;2019-12-21 14:29:28.430
28770;1CFDAFF4;TSE;KZO;2019-12-23 08:45:00.000;NULL;1;2019-12-21 14:29:28.430
29737;606AC607;ALA;LED;2019-12-22 08:15:00.000;2019-12-24 11:40:00.000;1;2019-12-21 13:38:27.250
29738;C0542DD6;ALA;LED;2019-12-22 08:15:00.000;2019-12-24 11:40:00.000;1;2019-12-21 13:38:27.250
27564;E3182A53;TSE;ALA;2019-12-21 22:35:00.000;NULL;1;2019-12-21 12:14:13.460
28636;2699CBD7;KSN;TSE;2019-12-22 12:50:00.000;2019-12-23 11:00:00.000;2;2019-12-21 11:56:18.490
29825;9908FE10;UKK;ALA;2019-12-21 14:55:00.000;NULL;1;2019-12-21 10:34:09.053
28699;C9EBA48C;ALA;CIT;2019-12-22 19:35:00.000;NULL;1;2019-12-21 09:58:48.993
28381;58815C2D;ALA;SCO;2019-12-21 10:25:00.000;NULL;1;2019-12-21 08:48:08.123
28380;9CEEA2CF;ALA;SCO;2019-12-21 10:25:00.000;NULL;1;2019-12-21 08:48:08.123
