dep_airport_code,arr_airprt_code,vacant_hour,count
AKX,ALA,2,1
AKX,ALA,1,1
AKX,ALA,20,1
AKX,ALA,4,1
AKX,ALA,7,1
AKX,ALA,17,1
AKX,ALA,14,1
AKX,ALA,10,2
AKX,ALA,12,3
AKX,ALA,23,3
AKX,ALA,21,3
AKX,ALA,13,4
AKX,ALA,0,4
AKX,ALA,19,4
AKX,ALA,15,5
AKX,ALA,11,6
AKX,TSE,8,1
AKX,TSE,4,1
AKX,TSE,22,1
AKX,TSE,14,2
AKX,TSE,1,2
AKX,TSE,10,2
AKX,TSE,20,2
AKX,TSE,16,3
AKX,TSE,12,3
AKX,TSE,15,3
AKX,TSE,18,4
AKX,TSE,23,4
AKX,TSE,13,6
AKX,TSE,21,6
AKX,TSE,11,8
AKX,TSE,19,9
ALA,AKX,22,1
ALA,AKX,2,1
ALA,AKX,3,1
ALA,AKX,4,1
ALA,AKX,8,1
ALA,AKX,16,1
ALA,AKX,20,1
ALA,AKX,17,2
ALA,AKX,7,2
ALA,AKX,13,2
ALA,AKX,6,3
ALA,AKX,18,3
ALA,AKX,14,3
ALA,AKX,12,3
ALA,AKX,23,4
ALA,AKX,9,4
ALA,AKX,0,4
ALA,AKX,21,4
ALA,AKX,1,4
ALA,AKX,19,4
ALA,AKX,15,5
ALA,AKX,11,5
ALA,AKX,10,7
ALA,AYT,6,1
ALA,AYT,21,1
ALA,AYT,14,1
ALA,AYT,0,2
ALA,AYT,7,2
ALA,AYT,10,2
ALA,AYT,3,2
ALA,AYT,23,3
ALA,AYT,19,3
ALA,AYT,22,4
ALA,AYT,18,4
ALA,AYT,1,6
ALA,AYT,17,9
ALA,CIT,6,1
ALA,CIT,4,3
ALA,CIT,2,3
ALA,CIT,3,3
ALA,CIT,5,3
ALA,CIT,23,5
ALA,CIT,22,7
ALA,CIT,13,7
ALA,CIT,8,7
ALA,CIT,19,8
ALA,CIT,1,9
ALA,CIT,7,9
ALA,CIT,9,9
ALA,CIT,21,9
ALA,CIT,11,10
ALA,CIT,14,11
ALA,CIT,10,11
ALA,CIT,0,12
ALA,CIT,20,12
ALA,CIT,15,12
ALA,CIT,16,14
ALA,CIT,18,15
