traveler_id,total_distance
12502,5669
12381,4196
12036,11714
12532,50331
11977,5705
12320,2203
12775,6782
11874,41391
12220,8571
12326,3932
11924,27861
11989,9809
12286,29858
11905,2466
11918,26412
12033,6246
12744,6685
12595,15807
12465,19462
12516,13945
12240,4164
12040,15151
12231,4856
12410,23182
12051,27330
12501,11787
12254,14022
12075,28907
12114,9794
12271,10955
12100,8304
12124,26542
12054,23482
12156,16877
11612,12930
12300,19910
12270,19296
12266,40716
12387,5849
12484,5236
12021,5751
12074,37785
12145,10274
12370,2360
11925,16478
12343,16154
11875,18754
12672,7725
12415,16413
12102,11430
12184,16359
12373,8809
12265,22508
12386,8042
12408,5338
12308,6781
12243,4635
12493,7858
11931,14528
12394,25828
11984,23432
12207,46603
12290,11626
12106,9940
12344,25186
12340,25187
12168,23832
12015,1358
12306,6860
11916,2853
11944,20127
11954,9712
12594,7863
12192,6462
12057,29878
12283,17838
12222,7858
12541,6384
12067,22305
12055,21591
12043,14876
12108,11934
12039,9559
12009,23945
11930,21431
12717,9606
12092,10814
12201,1902
12433,13430
11882,33802
12229,3147
12681,8561
12356,21877
12434,6284
12301,3704
12205,28698
12667,2689
12000,19205
12096,37068
12142,15741
12118,2853
12127,15123
12361,21683
12223,11787
12324,8328
12345,19645
11967,15832
11938,6396
12122,4754
12818,3430
12507,18826
12680,8171
12268,2776
12483,11662
12506,19254
12436,7858
12367,6850
12246,20288
12632,10291
12794,12032
11886,21937
12181,9183
12518,14285
12382,8043
12261,7138
11949,3803
12140,40162
12116,6457
12446,13443
11876,3154
12012,7858
11955,22546
12195,8377
12037,31894
11884,1702
12214,1878
12002,3756
11968,25682
12230,1902
12288,13393
12058,11648
12331,4387
12103,12961
12403,10487
12001,6655
12544,6774
12006,16849
12285,17616
12339,24063
12451,16753
12066,15790
12060,20647
11890,11215
11959,23049
12538,1709
12198,6800
11948,32226
12148,42105
12194,2853
11922,16400
12093,33542
12013,33105
12678,2961
12430,9298
11932,23622
12052,1553
12076,33781
12049,27441
11953,2452
12126,19745
11947,3317
12606,3130
12112,30006
12120,1635
12068,25511
12304,16928
12046,34791
12463,8376
12208,10410
12284,34800
11870,61391
12146,5242
12177,12530
11894,40169
12007,32427
12411,15516
12087,17254
12139,3677
12147,30355
11965,13282
12487,13145
12333,1101
12153,6537
12081,24318
11893,5844
12042,29074
12250,1902
12004,18849
11996,36903
11889,23849
12022,12568
12837,11215
11970,4754
12028,28480
12206,20528
11966,20287
12466,9940
11980,144573
12121,4402
11950,36448
12031,24507
12294,13398
12133,19289
11907,11754
11956,5668
12234,24159
12157,2853
12901,15449
11990,12233
12325,15501
11936,11962
11985,2853
12368,5807
12334,39407
12758,6030
12056,19730
11923,6655
12274,3804
11880,23652
11973,17232
12171,15172
12078,5613
12480,7736
12272,13386
11946,24200
12090,18666
11878,16681
12607,17508
12492,11787
12364,29147
12579,2286
12625,3900
12128,9199
12098,5668
12346,13371
12186,20274
12478,9122
12038,21545
11978,17898
12397,20443
12110,13100
12568,4242
11988,34439
