dep_name,traveler_id,flights
Administrative Services,11911,21
Aircraft Presentation Team,12595,1
Aircraft Presentation Team,12384,1
Business Class Lounge at Astana,12145,3
Business Class Lounge at Astana,12156,18
Cabin Services,12102,1
Cabin Services,12750,1
Cabin Services,12223,1
Cabin Services,12579,1
Cabin Services,12110,1
Cabin Services,12222,1
Cabin Services,12604,2
Cabin Services,12240,2
Cabin Services,12254,2
Cabin Services,12104,2
Cabin Services,12250,2
Cabin Services,12583,3
Cabin Services,12060,3
Cabin Services,12782,4
Cabin Services,12052,5
Cabin Services,12234,5
Cabin Services,12100,5
Cabin Services,12248,8
Cabin Services,12055,16
Cabin Services,12103,26
Cabin Services Astana,12457,1
Cabin Services Astana,12464,1
Cabin Services Astana,12123,1
Cabin Services Astana,12460,1
Cabin Services Astana,12352,1
Cabin Services Astana,12332,1
Cabin Services Astana,12392,2
Cabin Services Astana,12380,2
Cabin Services Astana,12292,2
Cabin Services Astana,12122,2
Cabin Services Astana,11887,2
Cabin Services Astana,12330,2
Cabin Services Astana,11947,2
Cabin Services Astana,12381,2
Cabin Services Astana,11940,2
Cabin Services Astana,12678,2
Cabin Services Astana,12367,2
Cabin Services Astana,12118,2
Cabin Services Astana,11888,3
Cabin Services Astana,12268,3
Cabin Services Astana,12661,3
Cabin Services Astana,12680,3
Cabin Services Astana,12465,3
Cabin Services Astana,11900,3
Cabin Services Astana,12454,3
Cabin Services Astana,12170,3
Cabin Services Astana,12261,3
Cabin Services Astana,12117,4
Cabin Services Astana,12667,5
Cabin Services Astana,12294,5
Cabin Services Astana,11952,6
Cabin Services Astana,11901,6
Cabin Services Astana,12343,6
Cabin Services Astana,12306,6
Cabin Services Astana,11917,8
Cabin Services Astana,12684,8
Cabin Services Astana,12300,8
Cabin Services Astana,12453,8
Cabin Services Astana,11949,8
Cabin Services Astana,12120,8
Cabin Services Astana,12463,9
Cabin Services Astana,12171,10
Cabin Services Astana,11953,10
Cabin Services Astana,12290,10
Cabin Services Astana,12363,10
Cabin Services Astana,12169,12
Cabin Services Astana,12387,13
Cabin Services Astana,12304,15
Cabin Services Astana,11878,17
Cabin Services Astana,11889,22
Cabin Services Astana,11886,23
Cabin Services Astana,11948,24
Cabin Services Astana,12266,27
Cabin Services Astana,11954,30
Cargo Sales,12594,1
Cash Control Accounts,12253,1
Cash Control Accounts,12126,9
Cleaning,12121,1
Cleaning,11946,1
Cleaning,11992,1
Cleaning,11920,1
Cleaning,12243,1
Commercial Engineering,11996,5
Commercial planning,12008,1
Commercial planning,12717,4
Commercial Stores,12586,2
Commercial Stores,12488,4
Commercial Stores,12673,5
Composite Repair Division,11983,3
Composite Repair Division,12013,11
Contact centre,12070,1
Contact centre,12114,2
Contact centre,12079,2
Contact centre,12206,2
Contact centre,12004,3
Contact centre,12098,3
Contact centre,12078,3
Contact centre,11988,4
Contact centre,12208,5
Contact centre,12058,5
Contact centre,12020,5
Contact centre,12236,5
Contact centre,12204,6
Contact centre,12051,8
Contact centre,12074,8
Contact centre,12087,9
Contact centre,12000,17
Contact centre,12066,25
Contact centre,12064,26
E - commerce,12688,1
E - commerce,11922,2
E - commerce,12386,3
E - commerce,12681,3
E - commerce,12057,6
E - commerce,11926,40
Engine Management,11995,3
Engineering and Maintenance,12547,1
Engineering and Maintenance,12712,1
Engineering and Maintenance,12558,1
Engineering and Maintenance,12554,1
Engineering and Maintenance,12044,1
Engineering and Maintenance,11937,1
Engineering and Maintenance,12571,1
Engineering and Maintenance,12542,1
Engineering and Maintenance,12338,1
Engineering and Maintenance,12021,1
Engineering and Maintenance,12033,1
Engineering and Maintenance,12308,1
Engineering and Maintenance,12776,1
Engineering and Maintenance,11938,2
Engineering and Maintenance,11928,2
Engineering and Maintenance,12538,2
Engineering and Maintenance,12559,2
Engineering and Maintenance,12555,2
Engineering and Maintenance,11941,3
Engineering and Maintenance,12346,3
Engineering and Maintenance,12536,3
Engineering and Maintenance,12339,3
Engineering and Maintenance,11934,4
Engineering and Maintenance,12345,4
Engineering and Maintenance,12038,4
Engineering and Maintenance,12246,4
Engineering and Maintenance,12543,5
Engineering and Maintenance,11929,5
Engineering and Maintenance,12432,5
Engineering and Maintenance,12040,5
Engineering and Maintenance,11931,5
Engineering and Maintenance,12544,6
Engineering and Maintenance,12043,6
Engineering and Maintenance,12553,6
Engineering and Maintenance,12309,6
Engineering and Maintenance,12049,7
Engineering and Maintenance,11925,7
Engineering and Maintenance,11936,7
Engineering and Maintenance,12031,7
Engineering and Maintenance,12340,8
Engineering and Maintenance,12045,8
Engineering and Maintenance,12568,9
Engineering and Maintenance,12550,9
Engineering and Maintenance,12056,9
Engineering and Maintenance,12552,9
Engineering and Maintenance,11932,10
Engineering and Maintenance,11930,10
Engineering and Maintenance,12541,10
Engineering and Maintenance,12556,10
Engineering and Maintenance,12046,11
Engineering and Maintenance,12307,11
Engineering and Maintenance,12036,11
Engineering and Maintenance,12327,13
Engineering and Maintenance,12022,14
Engineering and Maintenance,11973,14
Engineering and Maintenance,12037,15
Engineering and Maintenance,12042,17
Engineering and Maintenance,12366,20
Engineering Finance,11870,8
Financial Accounting,13041,1
Financial Accounting,12483,2
Financial Accounting,12148,2
Financial Accounting,12789,3
Financial Accounting,12672,5
Financial Accounting,12775,5
Financial Accounting,12513,25
Financial compliance and reporting,12794,2
Flight Operations Support,12609,7
Ground Services,12481,1
Ground Services,12649,1
Ground Services,12069,1
Ground Services,12709,1
Ground Services,12766,2
Ground Services,12186,4
Ground Services,12178,4
Ground Services,12640,5
Ground Services,12199,5
Ground Services,12147,7
Ground Services,12076,14
Ground Services,12054,17
Ground Services,12028,25
Ground Services,12187,25
Ground Services at Almaty,12722,1
Ground Services at Almaty,12324,1
Ground Services at Almaty,12523,1
Ground Services at Almaty,11877,1
Ground Services at Almaty,12526,1
Ground Services at Almaty,12603,1
Ground Services at Almaty,12741,1
Ground Services at Almaty,12501,1
Ground Services at Almaty,12174,1
