age,count
1,29
2,13
3,26
4,40
5,17
6,13
7,11
8,18
9,15
10,18
11,21
12,9
13,12
14,7
15,13
16,19
17,16
18,35
19,21
20,109
21,159
22,380
23,447
24,407
25,431
26,204
27,252
28,146
29,141
30,60
31,133
32,34
33,58
34,42
35,12
36,20
37,15
38,19
39,14
40,8
41,20
42,31
43,23
44,56
45,54
46,55
47,83
48,54
49,106
50,86
51,84
52,111
53,99
54,85
55,45
56,53
57,68
58,21
59,47
60,17
61,10
62,6
63,41
64,7
66,2
67,5
68,1
69,6
70,16
71,2
72,4
74,2
