line,dep_airport_code,arr_airport_code,flights
Fly,KBP,ALA,1
Fly,CIT,UKK,1
Fly,CDG,ALA,1
Fly,FRU,DME,1
Fly,FRA,TSE,1
Fly,TAS,BKK,1
Fly,TAS,ALA,1
Fly,TSE,AMS,1
Fly,TAS,TSE,1
Fly,CIT,IST,1
Fly,ALA,DEL,1
Fly,TSE,PEK,1
Fly,KZO,AKX,1
Fly,UKK,KUL,1
Fly,GUW,CIT,1
Fly,GUW,KBP,1
Fly,ALA,CDG,1
Fly,DME,ALA,1
Fly,AYT,ALA,1
Fly,AYT,TSE,1
Fly,KSN,TSE,1
Fly,ICN,TSE,1
Fly,TSE,KZN,1
Fly,URA,ALA,1
Fly,CIT,GUW,1
Fly,TBS,TSE,1
Fly,GUW,AMS,1
Fly,ALA,LHR,1
Fly,ALA,PWQ,1
Fly,SVO,ALA,1
Fly,ALA,FRA,2
Fly,TSE,KUL,2
Fly,SCO,GUW,2
Fly,GUW,SVO,2
Fly,ALA,OMS,2
Fly,ALA,URA,2
Fly,TSE,LHR,2
Fly,FRA,ALA,2
Fly,ALA,HKG,2
Fly,OMS,TSE,3
Fly,DME,TSE,3
Fly,LED,ALA,3
Fly,DXB,ALA,3
Fly,TSE,FRA,3
Fly,DXB,TSE,3
Fly,GUW,SCO,4
Fly,TSE,SVO,4
Fly,URA,TSE,4
Fly,TSE,LED,4
Fly,TSE,GYD,4
Fly,ALA,AMS,4
Fly,TSE,OMS,4
Fly,GUW,IST,4
Fly,IST,TSE,5
Fly,KZO,ALA,5
Fly,TBS,ALA,5
Fly,TSE,TAS,6
Fly,PWQ,TSE,6
Fly,TSE,AYT,6
Fly,UKK,TSE,6
Fly,KZO,TSE,7
Fly,ALA,FRU,7
Fly,TSE,CDG,7
Fly,ALA,KBP,8
Fly,GUW,TSE,9
Fly,ALA,GYD,9
Fly,GUW,ALA,9
Fly,TSE,URA,9
Fly,TSE,ICN,9
Fly,IST,ALA,9
Fly,TSE,UKK,10
Fly,SCO,ALA,10
Fly,TSE,GUW,10
Fly,ALA,DME,11
Fly,TSE,DME,12
Fly,ALA,LED,12
Fly,SCO,TSE,13
Fly,AKX,ALA,13
Fly,ALA,SVO,14
Fly,ALA,TAS,14
Fly,ALA,KZO,14
Fly,TSE,TBS,14
Fly,TSE,PWQ,15
Fly,ALA,BKK,17
Fly,AKX,TSE,17
Fly,UKK,ALA,18
Fly,TSE,KZO,19
Fly,ALA,AYT,20
Fly,ALA,UKK,21
Fly,TSE,DXB,24
Fly,TSE,IST,26
Fly,ALA,AKX,27
Fly,TSE,SCO,29
Fly,ALA,GUW,31
Fly,ALA,KUL,33
Fly,ALA,SCO,33
Fly,TSE,AKX,37
Fly,CIT,TSE,39
Fly,CIT,ALA,43
Fly,ALA,ICN,44
Fly,ALA,DXB,46
Fly,ALA,TBS,47
Fly,TSE,CIT,67
Fly,ALA,CIT,76
Fly,ALA,IST,112
Fly,TSE,ALA,293
Fly,ALA,TSE,300
Wings,TSE,ZIA,1
Wings,PLX,TSE,2
Wings,KSN,TSE,2
Wings,PLX,ALA,3
Wings,TSE,KSN,3
Wings,ALA,PWQ,4
Wings,ALA,PLX,4
Wings,DMB,TSE,5
Wings,URA,ALA,5
Wings,PWQ,ALA,6
Wings,KGF,ALA,8
Wings,PWQ,TSE,10
Wings,CIT,TSE,11
Wings,TSE,DMB,15
Wings,ALA,CIT,21
Wings,TSE,CIT,21
Wings,CIT,ALA,23
Wings,ALA,URA,23
Wings,TSE,PLX,23
Wings,TSE,PWQ,29
Wings,ALA,KGF,30
Wings,DMB,ALA,42
Wings,ALA,TSE,50
Wings,ALA,DMB,51
Wings,TSE,ALA,73
